Stud Qu1 Qu2 Qu3 Qu4 Qu5
1543 052 009 091 076 021
2381 079 054 097 088 052
3352 093 023 010 074 066
4783 046 013 063 048 081
5293 045 015 089 099 029
6114 033 079 071 088 059
7114 063 084 050 071 083
8256 084 034 083 099 031
9673 012 010 098 092 041
1778 058 067 097 099 083
2489 085 079 097 071 077
3896 028 082 098 088 079
4321 081 051 085 093 078
5592 020 028 030 079 018
7804 015 087 075 074 029
2931 090 036 090 077 030
3125 100 045 020 090 070
4013 011 017 081 032 077
5694 020 012 045 078 034
6892 034 080 055 078 045
7463 060 100 056 078 078
8021 070 010 066 078 056
9876 034 009 077 078 020
1764 045 040 088 078 055
2349 055 050 099 078 080
3952 022 070 100 078 077
4701 089 050 091 078 060
5082 011 011 000 078 010
6995 000 098 089 078 020
2174 040 037 061 099 023
3654 078 089 045 075 039
2135 067 005 092 094 084
4583 017 058 078 013 044
5697 046 014 029 089 018
6053 072 085 008 067 045
7436 039 089 060 097 068
8211 023 080 017 081 057
9764 053 008 091 094 046
1764 034 051 060 071 039
2856 069 068 095 082 082
